,volume,price
ABCB4,1045291,11.9
ABEV3,295941650,18.61
ALPA4,2833955,9.74
ALSC3,1610508,13.14
ALUP1,2776369,12.95
ANIM3,1399965,11.61
ARZZ3,2089371,24.6
BBAS3,210877127,16.0
BBDC3,51485656,25.49
BBDC4,296820139,24.21
BBPO1,7030872,110.0
BBSE3,153196127,27.15
BBTG1,5995530,18.54
BEEF3,4839574,9.0
BOVA1,198038127,48.02
BPHA3,1332311,4.91
BRAP4,27855185,8.05
BRCR1,2227130,88.81
BRFS3,155791254,45.0
BRIN3,1093448,20.77
BRKM5,18984055,19.29
BRML3,37784712,11.69
BRPR3,9380264,8.0
BRSR6,5060173,7.35
BTOW3,5708806,9.31
BVMF3,219688624,16.07
CCRO3,60739922,15.6
CESP6,21297657,11.66
CGAS5,1604678,46.72
CIEL3,222293356,33.16
CMIG4,72119709,5.72
COCE5,2478184,40.2
CPFE3,35938023,20.2
CPLE6,40659125,26.78
CSAN3,33580943,32.74
CSMG3,4591252,26.9
CSNA3,72320902,7.33
CTIP3,60616234,41.85
CVCB3,3556776,20.95
CYRE3,16380759,9.94
DAGB3,6699198,433.0
DIRR3,5499887,5.44
DTEX3,20263900,7.58
ECOR3,26626261,7.7
ELET3,26315255,8.3
ELET6,22995622,13.3
ELPL4,3122014,6.64
EMBR3,47160029,17.96
ENBR3,30151176,12.61
ENBR9,1000723,12.36
EQTL3,68523601,47.49
ESTC3,126698542,15.8
EVEN3,2557610,3.85
EZTC3,8226937,15.7
FESA4,1574854,7.31
FIBR3,79502294,26.44
FLRY3,14985388,26.71
GFSA3,12475585,1.84
GGBR4,75127143,5.87
GOAU4,29733920,2.01
GOLL4,7671164,2.6
GRND3,2179585,15.84
HGTX3,7193229,13.5
HYPE3,89497756,27.9
IGTA3,9213208,27.15
ITSA4,160405199,7.14
ITUB3,2110480,25.87
ITUB4,454116280,28.92
JBSS3,103908216,9.62
KLBN1,40876138,16.01
KNCR1,2122171,109.2
KNRI1,2114218,127.49
KROT3,289705479,12.74
LAME3,8672376,10.46
LAME4,45032490,14.76
LEVE3,6577866,23.8
LIGT3,12398532,9.31
LINX3,7389094,14.7
LREN3,76275041,22.93
MDIA3,12518676,92.85
MGLU3,2924628,35.7
MILS3,3930269,4.4
MPLU3,11723052,34.0
MRFG3,11327804,5.72
MRVE3,17806476,10.06
MULT3,42496587,58.6
MYPK3,2842028,14.39
NATU3,21728283,22.72
ODPV3,15766167,10.92
OIBR3,23136966,1.34
OIBR4,35898968,1.1
PARC3,4995972,11.6
PCAR4,44893106,43.84
PETR3,161203526,11.39
PETR4,557610412,8.95
PIBB1,76094294,85.08
POMO4,5003739,2.25
PSSA3,13878784,26.2
QGEP3,4397659,4.08
QUAL3,26350913,17.82
RADL3,58884291,59.63
RAPT4,2486809,2.95
RENT3,29855479,34.1
RLOG3,1084394,3.44
RUMO3,55210096,4.43
SANB1,28852908,17.6
SAPR4,15260114,4.65
SBSP3,97325511,27.84
SEER3,3463580,13.1
SLCE3,4786633,14.85
SMLE3,18202323,43.93
SMTO3,13401490,52.79
STBP1,1356269,11.82
SULA1,11007176,15.21
SUZB5,55312835,11.94
TAEE1,8817918,18.23
TBLE3,28555154,36.28
TCSA3,1064347,2.2
TIET1,14605482,13.7
TIMP3,21817329,6.73
TOTS3,22206827,30.0
TRPL4,19336080,60.01
TUPY3,4843713,12.26
UGPA3,118330716,70.8
USIM5,71478866,2.06
VALE3,131879315,15.28
VALE5,344680582,12.26
VIVT4,119016139,40.25
VLID3,16239246,26.71
VTLM3,1116621,0.29
VVAR1,8529707,6.35
WEGE3,26780178,14.08
XBOV1,1196380,49.5
